time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-06 07:45:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-06 08:00:00+01:00,0.0,150.0,0.0,0.0,31.46000000000001
2026-01-06 08:15:00+01:00,0.0,150.0,24.91160000000002,36.75,31.46000000000001
2026-01-06 08:30:00+01:00,0.0,0.0,61.66160000000002,61.66160000000002,0.0
2026-01-06 08:45:00+01:00,0.0,0.0,61.66160000000002,61.66160000000002,0.0
2026-01-06 09:00:00+01:00,0.0,150.0,61.66160000000002,61.66160000000002,3.336666666666665
2026-01-06 09:15:00+01:00,0.0,150.0,61.66160000000002,98.41160000000002,3.336666666666665
2026-01-06 09:30:00+01:00,0.0,150.0,98.41160000000002,98.41160000000002,3.336666666666665
2026-01-06 09:45:00+01:00,0.0,150.0,98.41160000000002,120.5204,3.336666666666665
2026-01-06 10:00:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 10:15:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 10:30:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 10:45:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 11:00:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 11:15:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 11:30:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 11:45:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 12:00:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 12:15:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 12:30:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 12:45:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 13:00:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 13:15:00+01:00,0.0,150.0,120.5204,120.5204,3.336666666666665
2026-01-06 13:30:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 13:45:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 14:00:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 14:15:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 14:30:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 14:45:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 15:00:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-06 15:15:00+01:00,0.0,150.0,120.5204,120.5204,136.92979591836738
2026-01-06 15:30:00+01:00,0.0,0.0,157.2704,157.2704,0.0
2026-01-06 15:45:00+01:00,0.0,150.0,157.2704,157.2704,69.22367346938773
2026-01-06 16:00:00+01:00,0.0,150.0,194.0204,194.0204,69.22367346938773
2026-01-06 16:15:00+01:00,0.0,0.0,230.7704,230.7704,0.0
2026-01-06 16:30:00+01:00,0.0,0.0,230.7704,230.7704,0.0
2026-01-06 16:45:00+01:00,0.0,0.0,230.7704,230.7704,0.0
2026-01-06 17:00:00+01:00,0.0,150.0,230.7704,230.7704,1.1785714285714286
2026-01-06 17:15:00+01:00,0.0,150.0,230.7704,267.5204,1.1785714285714286
2026-01-06 17:30:00+01:00,0.0,150.0,267.5204,267.5204,1.1785714285714286
2026-01-06 17:45:00+01:00,0.0,150.0,267.5204,290.8304,1.1785714285714286
2026-01-06 18:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 18:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 18:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 18:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 19:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 19:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 19:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 19:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 20:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 20:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 20:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 20:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 21:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 21:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 21:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 21:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 22:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 22:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 22:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 22:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 23:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 23:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 23:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-06 23:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 00:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 00:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 00:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 00:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 01:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 01:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 01:30:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 01:45:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 02:00:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 02:15:00+01:00,0.0,150.0,290.8304,290.8304,1.1785714285714286
2026-01-07 02:30:00+01:00,0.0,300.0,290.8304,290.8304,30.855714285714285
2026-01-07 02:45:00+01:00,0.0,300.0,290.8304,327.5804,30.855714285714285
2026-01-07 03:00:00+01:00,0.0,300.0,327.5804,327.5804,30.855714285714285
2026-01-07 03:15:00+01:00,0.0,300.0,327.5804,364.3304,30.855714285714285
2026-01-07 03:30:00+01:00,0.0,300.0,364.3304,364.3304,30.855714285714285
2026-01-07 03:45:00+01:00,0.0,300.0,390.25,401.0804,30.855714285714285
2026-01-07 04:00:00+01:00,0.0,300.0,427.0,427.0,30.855714285714285
2026-01-07 04:15:00+01:00,0.0,300.0,463.75,463.75,30.855714285714285
2026-01-07 04:30:00+01:00,0.0,300.0,500.5,500.5,30.855714285714285
2026-01-07 04:45:00+01:00,0.0,300.0,537.25,537.25,30.855714285714285
2026-01-07 05:00:00+01:00,0.0,300.0,574.0,574.0,30.855714285714285
2026-01-07 05:15:00+01:00,0.0,150.0,610.75,610.75,1.1785714285714286
2026-01-07 05:30:00+01:00,0.0,150.0,610.75,610.75,1.1785714285714286
2026-01-07 05:45:00+01:00,0.0,150.0,610.75,610.75,1.1785714285714286
2026-01-07 06:00:00+01:00,0.0,0.0,610.75,610.75,0.0
2026-01-07 06:15:00+01:00,0.0,150.0,610.75,610.75,31.284897959183674
2026-01-07 06:30:00+01:00,0.0,150.0,635.3184,647.5,31.284897959183674
2026-01-07 06:45:00+01:00,0.0,150.0,672.0683999999999,672.0683999999999,4.384923737916219
2026-01-07 07:00:00+01:00,0.0,300.0,672.0683999999999,708.8183999999999,9.045331901181527
2026-01-07 07:15:00+01:00,0.0,300.0,708.8183999999999,745.5683999999999,9.045331901181527
2026-01-07 07:30:00+01:00,0.0,300.0,745.5683999999999,782.3183999999999,9.045331901181527
2026-01-07 07:45:00+01:00,0.0,300.0,782.3183999999999,804.942,9.045331901181527
2026-01-07 08:00:00+01:00,0.0,300.0,804.942,841.692,9.045331901181527
2026-01-07 08:15:00+01:00,0.0,300.0,841.692,841.692,9.045331901181527
2026-01-07 08:30:00+01:00,0.0,300.0,841.692,878.442,9.045331901181527
2026-01-07 08:45:00+01:00,0.0,300.0,878.442,878.442,9.045331901181527
2026-01-07 09:00:00+01:00,0.0,300.0,878.442,915.192,9.045331901181527
2026-01-07 09:15:00+01:00,0.0,300.0,915.192,915.192,9.045331901181527
2026-01-07 09:30:00+01:00,0.0,450.0,915.192,951.942,165.35308700322236
2026-01-07 09:45:00+01:00,0.0,300.0,988.692,988.692,9.045331901181527
2026-01-07 10:00:00+01:00,0.0,300.0,988.692,1025.442,9.045331901181527
2026-01-07 10:15:00+01:00,0.0,300.0,1025.442,1025.442,19.983597207303973
2026-01-07 10:30:00+01:00,0.0,300.0,1025.442,1098.942,19.983597207303973
2026-01-07 10:45:00+01:00,0.0,300.0,1098.942,1098.942,19.983597207303973
