fleet,total_potential_gross_profit_delta_eur,cost_eur_per_kwh,n_vehicles,total_potential_gross_profit_delta_eur_per_year,total_potential_gross_profit_delta_eur_per_year_per_bet
F1,83250.62159935433,0.0,18,387448.76887254295,21524.931604030164
F1,96757.92273199864,0.01,18,450311.809341112,25017.322741172888
F1,98949.11057421372,0.02,18,460509.6074539047,25583.867080772485
F1,96799.50057185642,0.03,18,450505.3127955703,25028.07293308724
F1,94966.3216606614,0.04,18,441973.6898644674,24554.093881359302
F1,94629.57237863811,0.05,18,440406.45718521444,24467.02539917858
F1,94496.21579885812,0.06,18,439785.8150606971,24432.54528114984
F1,94753.10604859928,0.07,18,440981.38344307593,24498.96574683755
F1,93188.01765532437,0.08,18,433697.4549930357,24094.30305516865
F1,92646.01682781558,0.09,18,431174.98069420346,23954.165594122416
F1,91499.8798652632,0.1,18,425840.8540946769,23657.82522748205
F2,55273.68605336461,0.0,5,241224.30680158123,48244.861360316245
F2,66204.10238304774,0.01,5,288926.6094783899,57785.32189567798
F2,67822.46286188967,0.02,5,295989.4256670337,59197.885133406744
F2,67547.34949130533,0.03,5,294788.7814392002,58957.75628784004
F2,65813.46916719136,0.04,5,287221.8158697702,57444.363173954036
F2,63865.52996677863,0.05,5,278720.65886610077,55744.13177322016
F2,61779.01877165506,0.06,5,269614.74875561,53922.949751122
F2,59954.20941885408,0.07,5,261650.95255158137,52330.19051031627
F2,58046.52672051949,0.08,5,253325.48216303435,50665.09643260687
F2,57122.4983909074,0.09,5,249292.8563479132,49858.571269582644
F2,55257.21671734399,0.1,5,241152.43165720926,48230.486331441854
F3,76193.96953268224,0.0,12,354465.8380808797,29538.81984007331
F3,90496.45815227788,0.01,12,421003.17228569,35083.59769047416
F3,96287.54939794642,0.02,12,447944.20219119,37328.6835159325
F3,95332.16646236082,0.03,12,443499.61668097763,36958.30139008147
F3,93066.5652208634,0.04,12,432959.6980004054,36079.974833367116
F3,92039.6437047204,0.05,12,428182.3042237656,35681.858685313804
F3,94215.38701495246,0.06,12,438304.1902554347,36525.349187952896
F3,93480.72753447846,0.07,12,434886.4435486093,36240.53696238411
F3,93264.82907321886,0.08,12,433882.05134434265,36156.837612028554
F3,95732.46239297812,0.09,12,445361.8537241043,37113.48781034203
F3,93640.50431696212,0.1,12,435629.74923876167,36302.47910323014
F4,67746.77400285738,0.0,18,318295.3822821296,17683.076793451644
F4,81300.2655336645,0.01,18,381973.8943818187,21220.77191010104
F4,82122.46973346757,0.02,18,385836.8650389788,21435.38139105438
F4,80835.20308454144,0.03,18,379788.8865758021,21099.382587544562
F4,83008.01673058697,0.04,18,389997.43982834107,21666.52443490784
F4,85533.03888035718,0.05,18,401860.7780058616,22325.598778103424
F4,83837.56263398402,0.06,18,393894.90408887103,21883.050227159503
F4,82663.92779184991,0.07,18,388380.803141113,21576.71128561739
F4,80589.76444854643,0.08,18,378635.7396456244,21035.318869201357
F4,80487.91118592539,0.09,18,378157.20138841856,21008.7334104677
F4,80097.80705562526,0.1,18,376324.37104171485,20906.909502317492
F5,70726.13774370821,0.0,13,334716.89175304375,25747.453211772598
F5,87004.30447550875,0.01,13,411754.56899268326,31673.428384052557
F5,89764.85102227393,0.02,13,424819.0680470663,32678.38984977433
F5,89127.79645979138,0.03,13,421804.1582862088,32446.473714323754
F5,86947.30302586869,0.04,13,411484.80524398154,31652.677326460118
F5,84104.4317980496,0.05,13,398030.6982987113,30617.74602297779
F5,82449.1329973953,0.06,13,390196.86929075245,30015.143791596343
F5,80320.01959535736,0.07,13,380120.67620493274,29240.052015764057
F5,78615.23042023426,0.08,13,372052.6301897635,28619.43309152027
F5,77020.94212132969,0.09,13,364507.538078254,28039.04139063492
F5,75999.87577469896,0.1,13,359675.26298560936,27667.32792196995
F6,133587.4942378245,0.0,84,619823.3313153296,7378.849182325353
F6,149861.96084761343,0.01,84,695334.0980005793,8277.786880959276
F6,151576.39918820412,0.02,84,703288.8013181505,8372.485729977981
F6,151366.57478739048,0.03,84,702315.2516618329,8360.89585311706
F6,150234.0603571757,0.04,84,697060.5766572347,8298.340198300413
F6,149795.25102687362,0.05,84,695024.5757390958,8274.102092132092
F6,153378.63567160742,0.06,84,711650.873137331,8472.034204015845
F6,150819.14845300163,0.07,84,699775.2862543932,8330.658169695156
F6,155007.50064145564,0.08,84,719208.5305186183,8562.006315697838
F6,154530.8365011334,0.09,84,716996.8896980553,8535.677258310183
F6,151723.50286771377,0.1,84,703971.3374582483,8380.61116021724
