fleet,efficiency_pct,total_potential_gross_profit_delta_eur,n_vehicles,total_potential_gross_profit_delta_eur_per_year,total_potential_gross_profit_delta_eur_per_year_per_bet
F1,90.0,96195.58936998388,18,447694.70733486983,24871.928185270546
F1,91.0,97845.9513735688,18,455375.49955237756,25298.638864020977
F1,92.0,99387.23847835696,18,462548.65669831686,25697.147594350936
F1,93.0,101296.81556386396,18,471435.83707767207,26190.87983764845
F1,94.0,103109.8907969109,18,479873.89739988814,26659.660966660453
F1,95.0,105118.23243073892,18,489220.7284331374,27178.929357396522
F1,96.0,107180.49776909262,18,498818.52063076175,27712.14003504232
F1,97.0,109344.14351296677,18,508888.1376934992,28271.5632051944
F1,98.0,111686.89006916714,18,519791.29074559925,28877.29393031107
F1,99.0,114019.3335111628,18,530646.493057663,29480.360725425722
F1,100.0,116502.97085724137,18,542205.3524821008,30122.519582338937
F2,90.0,49164.94450664898,5,214564.6600464541,42912.932009290824
F2,91.0,49664.732548413165,5,216745.82494661814,43349.16498932363
F2,92.0,50238.18226689873,5,219248.46265190328,43849.69253038066
F2,93.0,50869.57461369288,5,222003.9724079958,44400.794481599165
F2,94.0,51462.01454840439,5,224589.48683224432,44917.897366448866
F2,95.0,52080.40112016235,5,227288.23704701563,45457.64740940313
F2,96.0,52652.96855131503,5,229787.0242917024,45957.40485834048
F2,97.0,53177.7577398878,5,232077.2986929466,46415.45973858932
F2,98.0,53703.92932752582,5,234373.60613233334,46874.72122646667
F2,99.0,54297.43410953121,5,236963.76774168308,47392.753548336615
F2,100.0,54932.926139572766,5,239737.16925278734,47947.43385055747
F3,90.0,84245.87890471009,12,391924.5348939248,32660.377907827064
F3,91.0,85924.01703056929,12,399731.4865575077,33310.95721312564
F3,92.0,87438.43945728856,12,406776.80809657346,33898.067341381124
F3,93.0,89126.71781194228,12,414630.9336338897,34552.57780282414
F3,94.0,90675.7911559266,12,421837.4564662332,35153.1213721861
F3,95.0,92297.2234187448,12,429380.6039023922,35781.716991866015
F3,96.0,94144.72114740318,12,437975.4419815464,36497.9534984622
F3,97.0,95790.61923320415,12,445632.4081162339,37136.034009686155
F3,98.0,97805.97518997926,12,455008.1479894946,37917.34566579122
F3,99.0,100183.25645252444,12,466067.618971914,38838.9682476595
F3,100.0,102510.40139695843,12,476893.84824076254,39741.15402006354
F4,90.0,71646.4857425501,18,336617.4390478621,18700.96883599234
F4,91.0,72693.10937457292,18,341534.8018885807,18974.155660476707
F4,92.0,73394.6135917708,18,344830.68654540746,19157.260363633748
F4,93.0,74565.13708022457,18,350330.1693873785,19462.787188187693
F4,94.0,75867.01782475194,18,356446.8094099367,19802.60052277426
F4,95.0,77409.99177817797,18,363696.1801967493,20205.34334426385
F4,96.0,78499.86012639443,18,368816.72014331736,20489.817785739855
F4,97.0,80910.60704613649,18,380143.15780324786,21119.064322402657
F4,98.0,82512.22761743123,18,387668.0686128708,21537.114922937268
F4,99.0,84602.99705734143,18,397491.1527070587,22082.841817058816
F4,100.0,86197.6114470123,18,404983.1462997199,22499.063683317774
F5,90.0,66671.83036366804,13,315529.56995447434,24271.50538111341
F5,91.0,67403.30248241831,13,318991.3180691434,24537.793697626414
F5,92.0,68184.86581650276,13,322690.12671667436,24822.317439744184
F5,93.0,68981.5240665793,13,326460.3732162262,25112.33640124817
F5,94.0,69755.19020621615,13,330121.80778306513,25393.985214081935
F5,95.0,70657.7960158006,13,334393.45926440484,25722.573789569604
F5,96.0,71743.32211719116,13,339530.7951089112,26117.753469916242
F5,97.0,72911.28654909188,13,345058.2766991058,26542.944361469676
F5,98.0,74019.83494999974,13,350304.5673484591,26946.5051806507
F5,99.0,75020.78972826152,13,355041.66289550025,27310.89714580771
F5,100.0,76101.72336097734,13,360157.2645284503,27704.40496372695
F6,90.0,212822.24484427503,84,987459.1445105134,11755.46600607754
F6,91.0,215727.63426386265,84,1000939.6589785152,11915.9483211728
F6,92.0,218973.2545283952,84,1015998.7869008166,12095.22365358115
F6,93.0,222403.88958494933,84,1031916.3520996589,12284.718477376891
F6,94.0,225818.5010743811,84,1047759.5706629123,12473.328222177528
F6,95.0,229060.57740449475,84,1062802.2553301768,12652.407801549723
F6,96.0,232783.03688375693,84,1080073.836388618,12858.021861769263
F6,97.0,236607.4619537171,84,1097818.520505594,13069.268101257072
F6,98.0,241153.15149612253,84,1118909.7495265007,13320.35416102977
F6,99.0,245210.2995938152,84,1137734.2290475748,13544.455107709224
F6,100.0,250853.6271584856,84,1163918.3124514478,13856.17038632676
