fleet,horizon_h,total_potential_gross_profit_delta_eur,n_vehicles,total_potential_gross_profit_delta_eur_per_year,total_potential_gross_profit_delta_eur_per_year_per_bet
F1,1,61909.89949619591,18,288128.951832475,16007.163990693058
F1,2,62110.38738598107,18,289062.0233769128,16059.001298717378
F1,4,62179.45550778476,18,289383.46672769,16076.859262649445
F1,8,62294.15324360313,18,289917.27050814894,16106.515028230497
F1,12,62208.76862188258,18,289519.8900930755,16084.438338504195
F1,24,87505.9913615247,18,407253.27896238887,22625.18216457716
F1,36,111198.9103021852,18,517520.2307064111,28751.12392813395
F1,48,111686.89006916714,18,519791.29074559925,28877.29393031107
F2,1,23494.42696905371,5,109343.16921179998,21868.633842359995
F2,2,23554.432758836585,5,109622.43642842793,21924.487285685587
F2,4,23551.986879259053,5,109611.05329382882,21922.210658765765
F2,8,23584.668136926965,5,109763.15201459966,21952.63040291993
F2,12,23780.843087815487,5,110676.15112193579,22135.23022438716
F2,24,32642.59935565649,5,151918.80481102449,30383.7609622049
F2,36,45455.46007107652,5,211549.91644182778,42309.983288365554
F2,48,45531.5523818613,5,211904.05039984325,42380.81007996865
F3,1,56416.22735989832,12,262561.3769014261,21880.11474178551
F3,2,56586.64742956628,12,263354.512675256,21946.209389604668
F3,4,56590.83717230121,12,263374.0117568647,21947.83431307206
F3,8,56667.49370962348,12,263730.77162773366,21977.564302311137
F3,12,56719.72733398704,12,263973.867151402,21997.82226261683
F3,24,76116.74150072908,12,354247.6586778519,29520.638223154325
F3,36,97651.3126304695,12,454469.6499630298,37872.47083025248
F3,48,97798.66197399968,12,455155.41447323,37929.617872769166
F6,1,89016.69117817894,84,414284.0827312246,4931.953365847912
F6,2,89180.83136141763,84,415047.9918852535,4941.047522443494
F6,4,89218.90728870298,84,415225.1974227855,4943.157112176018
F6,8,89303.29741943876,84,415617.9494723249,4947.832731813392
F6,12,89349.18837812892,84,415831.5262013066,4950.375311920317
F6,24,145889.321664472,84,678969.5618439498,8082.970974332736
F6,36,230506.93506876024,84,1072780.3167498151,12771.194247021609
F6,48,241121.1604064012,84,1122178.9694036788,13359.27344528189
