fleet,setup,total_potential_gross_profit_delta_eur,n_vehicles,total_potential_gross_profit_delta_eur_per_year,total_potential_gross_profit_delta_eur_per_year_per_bet,total_potential_gross_profit_delta_eur_uni,total_potential_gross_profit_delta_eur_per_year_uni,total_potential_gross_profit_delta_eur_per_year_per_bet_uni
F1,DA,12630.575723004264,18,31709.921425382916,1761.662301410162,6702.055959990816,16825.968391350445,934.7760217416914
F1,DA+ID,276818.018713739,18,694970.5076828412,38609.47264904673,20294.970168566244,50951.90619091217,2830.661455050676
F1,DA+ID+FCR,277717.380911795,18,697228.4177938881,38734.912099660454,20294.95991793368,50951.88045600029,2830.6600253333495
F2,DA,7907.875666030581,5,19166.629545390573,3833.325909078115,6388.787768733142,15484.756409795205,3096.951281959041
F2,DA+ID,109852.74350097224,5,266254.418778036,53250.8837556072,18104.60981943928,43880.855507584725,8776.171101516946
F2,DA+ID+FCR,110305.92773492812,5,267352.8192454784,53470.56384909568,18104.605845920887,43880.84587681178,8776.169175362356
F3,DA,11066.765613949095,12,27777.898790313488,2314.824899192791,2260.998785274416,5675.171736104265,472.9309780086887
F3,DA+ID,225989.60576468392,12,567240.3858162266,47270.032151352214,14234.499029294842,35729.00042883175,2977.416702402646
F3,DA+ID+FCR,227269.761278907,12,570453.6128376004,47537.801069800036,14234.49731960504,35728.996137461356,2977.416344788446
F4,DA,13927.903319363182,18,35145.73904007532,1952.5410577819623,7724.31576251666,19491.575998745768,1082.8653332636538
F4,DA+ID,201218.86980253004,18,507756.6756359393,28208.70420199663,24527.1965848227,61892.04726574877,3438.447070319376
F4,DA+ID+FCR,204301.0573229939,18,515534.28262982186,28640.79347943455,24527.184205510443,61892.01602773195,3438.445334873997
F5,DA,15913.784832637784,13,40313.694370707635,3101.0534131313566,15636.1558957749,39610.38914025105,3046.953010788542
F5,DA+ID,126424.68350734242,13,320266.1155362405,24635.85504124927,37695.34820743626,95491.9752160618,7345.536555081677
F5,DA+ID+FCR,127170.68662596207,13,322155.93257473334,24781.225582671796,37695.33965174031,95491.95354229183,7345.534887868602
F6,DA,37562.60332698275,84,94148.32765217994,1120.8134244307137,22630.77286612789,56722.62383613171,675.2693313825204
F6,DA+ID,482173.91892741405,84,1208538.921260128,14387.368110239619,46348.2630935401,116169.03710998893,1382.9647274998683
F6,DA+ID+FCR,485193.0302950557,84,1216106.1360185088,14477.454000220343,46348.25634750333,116169.02020146757,1382.9645262079473
