fleet,power_kw,total_potential_gross_profit_delta_eur,n_vehicles,total_potential_gross_profit_delta_eur_per_year,total_potential_gross_profit_delta_eur_per_year_per_bet
F1,50.0,22260.03679002128,18,103598.31174423505,5755.461763568614
F1,100.0,42964.57181602254,18,199957.3112542741,11108.739514126339
F1,150.0,61909.899496195896,18,288128.95183247497,16007.163990693054
F1,350.0,98949.11057421372,18,460509.6074539047,25583.867080772485
F2,50.0,11077.20319302343,5,48342.906947757,9668.5813895514
F2,100.0,19284.25099097361,5,84159.939559561,16831.987911912198
F2,150.0,28033.34054236024,5,122342.53986851448,24468.507973702894
F2,350.0,67822.46286188967,5,295989.4256670337,59197.885133406744
F3,50.0,19196.926246160263,12,89306.99623811147,7442.24968650929
F3,100.0,37915.274036772185,12,176387.5733202997,14698.964443358309
F3,150.0,56423.54057587789,12,262490.82073536393,21874.235061280327
F3,350.0,96287.54939794642,12,447944.20219119,37328.6835159325
F4,50.0,16541.90714571366,18,77719.01667817199,4317.723148787332
F4,100.0,31981.29064385098,18,150258.03488341894,8347.668604634386
F4,150.0,48102.93483076444,18,226002.52567310084,12555.695870727825
F4,350.0,82122.46973346757,18,385836.8650389788,21435.38139105438
F5,50.0,29489.56863682812,13,139561.65384041835,10735.511833878334
F5,100.0,29755.886481548376,13,140822.0235431463,10832.463349472791
F5,150.0,35841.06162680896,13,169620.5833878155,13047.737183678117
F5,350.0,89764.85102227393,13,424819.0680470663,32678.38984977433
F6,50.0,71514.15319020614,84,331813.54975964286,3950.161306662415
F6,100.0,85699.47595748103,84,397631.0431078039,4733.702894140522
F6,350.0,151576.39918820412,84,703288.8013181505,8372.485729977981
